City_Name,PM2_5_Mean,Greenness_Public_Share,Projected_PM25_Drop,Deviation_Analysis,Vegetation_Recommendation,Policy_Priority
san francisco,7.383,17.3,0.36474957603719194,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
preston,7.36,16.5,0.3636132845230575,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
toronto,7.333,21.2,0.3622793770934205,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
new orleans,7.3,22.9,0.3606490457905318,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
virginia beach,7.167,18.0,0.354078316600102,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
melbourne,7.1,20.4,0.35076825001544876,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
roanoke,7.1,16.3,0.35076825001544876,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
montreal,7.0,20.0,0.3458278521279077,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
london,7.0,23.9,0.3458278521279077,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
recife,6.961,19.4,0.3439010969517664,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
liege,6.931,13.6,0.34241897758550355,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
brest,6.925,11.8,0.342122553712251,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
providence,6.84,24.5,0.3379232155078409,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
sapporo,6.75,19.1,0.3334768574090541,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
oxford,6.722,19.3,0.3320935460005421,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
calgary,6.667,27.3,0.32937632716239396,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
boston,6.417,19.8,0.31702533244354036,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
edmonton,6.4,20.2,0.3161854648026585,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
okinawa,6.3,17.0,0.31124506691511655,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
adelaide,6.14,20.2,0.30334043029505064,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
portland,6.1,16.1,0.3013642711400335,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
sioux falls,6.0,23.9,0.2964238732524924,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
sofia,5.81,20.5,0.28703711726616365,POSITIVE: Pollution lower than predicted. Favorable meteorology or effective local regulations.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
winnipeg,5.5,20.3,0.27172188381478435,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
auckland,5.5,20.7,0.27172188381478435,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
trondheim,5.336,30.0,0.2636196312792167,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
reykjavik,5.26,27.9,0.25986492888468504,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
tartu,5.253,74.9,0.2595191010325566,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
stockholm,5.157,21.6,0.25477631906051723,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
salinas,5.0,17.6,0.24701989437707716,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
mary,5.0,12.5,0.24701989437707716,POSITIVE: Pollution lower than predicted. Favorable meteorology or effective local regulations.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
wellington,5.0,21.0,0.24701989437707716,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
jyvaskyla,4.759,17.3,0.235113535468102,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
tallinn,3.857,59.7,0.19055114652247696,Expected performance consistent with model.,Native Ornamental Species (Focus on biodiversity),Maintain current standards
honolulu,3.1,16.4,0.15315233451378774,POSITIVE: Pollution lower than predicted. Favorable meteorology or effective local regulations.,Native Ornamental Species (Focus on biodiversity),Improve street tree connectivity
